genus,total_count,order
,581,
Acridotheres,21,passeriformes
Acrocephalus,5,passeriformes
Actitis,2,charadriiformes
Aechmophorus,1,podicipediformes
Aegithina,1,passeriformes
Aix,59,anseriformes
Alca,5,charadriiformes
Alcedo,5,coraciiformes
Alethe,9,passeriformes
Alle,4,charadriiformes
Alopochen,7,anseriformes
Amandava,2,passeriformes
Amaurornis,9,gruiformes
Amazonetta,3,anseriformes
Amblyospiza,1,passeriformes
Anabathmis,1,passeriformes
Anas,25993,anseriformes
Anastomus,6,ciconiiformes
Andropadus,54,passeriformes
Anser,1092,anseriformes
Apus,4,apodiformes
Aquila,1,accipitriformes
Ardea,9,pelecaniformes
Ardeola,123,pelecaniformes
Arenaria,1825,charadriiformes
Aves,8,NA
Aythya,194,anseriformes
Bleda,3,passeriformes
Branta,284,anseriformes
Bubulcus,39,pelecaniformes
Bucephala,164,anseriformes
Buteo,3,accipitriformes
Cairina,10,anseriformes
Calcarius,4,passeriformes
Calidris,280,charadriiformes
Callonetta,2,anseriformes
Camaroptera,3,passeriformes
Catharus,1,passeriformes
Centropus,1,cuculiformes
Cepphus,6,charadriiformes
Ceyx,1,coraciiformes
Chalcomitra,1,passeriformes
Charadrii,338,charadriiformes
Charadriiformes,351,charadriiformes
Charadrius,9,charadriiformes
Chen,97,anseriformes
Chlidonias,2,charadriiformes
Chlorocichla,2,passeriformes
Chroicocephalus,274,charadriiformes
Chrysococcyx,1,cuculiformes
Cinnyris,12,passeriformes
Cisticola,3,passeriformes
Clangula,32,anseriformes
Coloeus,1,passeriformes
Columba,15,columbiformes
Corvus,4,passeriformes
Cossypha,2,passeriformes
Coturnix,4,galliformes
Criniger,1,passeriformes
Crypsirina,4,passeriformes
Cyanomitra,26,passeriformes
Cygnus,88,anseriformes
Cypsiurus,2,apodiformes
Dendrocygna,242,anseriformes
Dendroica,9,passeriformes
Dendropicos,2,piciformes
Dicrurus,1,passeriformes
Egretta,16,
Elminia,3,
Empidonax,5,
Env,2974,
Environmental,9,
Estrilda,3,
Euplectes,1,
Euschistospiza,1,
Falco,2,
Ficedula,1,
Fraseria,3,
Fratercula,5,
Fulica,38,
Gallicrex,16,
Gallinago,6,
Gallinula,15,
Gallirallus,8,
Gallus,35,
Gavia,3,
Geopelia,6,
Glareola,2,
Grus,2,
Haematopus,9,
Halcyon,3,
Haliaeetus,1,
Hedydipna,3,
Himantopus,3,
Hirundo,3,
Hydrophasianus,2,
Hylia,1,
Hypothymis,1,
Illadopsis,1,
Irena,1,
Ispidina,5,
Ixobrychus,7,
Ixonotus,1,
Junco,4,
Lagonosticta,1,
Lanius,1,
Larus,2831,
Leucophaeus,100,
Limnodromus,1,
Limosa,6,
Lonchura,23,
Lophodytes,6,
Luscinia,2,
Macronyx,1,
Macrosphenus,1,
Malacorhynchus,4,
Melanerpes-aurifrons,1,
Melanitta,54,
Melopsittacus,1,
Melospiza,11,
Mergus,1,
Merops,1,
Mesophoyx,1,
Microcarbo,1,
Morus,1,
Muscicapa,4,
Myiarchus-tyrannulus,1,
Netta,10,
Nettapus,1,
Nicator,1,
Nigrita,2,
Numenius,9,
Nycticorax,4,
Oreothlypis,9,
Ortalis,1,
Oxyura,9,
Passer,34,
Pelecanus,2,
Phalacrocorax,36,
Phalaropus,3,
Phyllastrephus,2,
Phylloscopus,2,
Platysteira,2,
Plectrophenax,1,
Plegadis,2,
Ploceus,30,
Pluvialis,4,
Podiceps,9,
Poecile,3,
Pogoniulus,2,
Porzana,60,
Prinia,7,
Puffinus,3,
Pycnonotus,36,
Pyrenestes,1,
Quelea,2,
Recurvirostra,24,
Rhipidura,10,
Rhodonessa,1,
Rissa,13,
Rostratula,16,
Rynchops,11,
Saxicola,3,
Schistolais,2,
Scolopacidae,24,
Sheppardia,1,
Smithornis,1,
Somateria,74,
Spermophaga,11,
Sterna,5,
Stiphrornis,2,
Streptopelia,16,
Sturnus,2,
Sylvia,2,
Tachybaptus,3,
Tadorna,67,
Terpsiphone,1,
Thalasseus,2,
Threskiornis,1,
Timalia,1,
Tringa,41,
Turdus,3,
Turnix,12,
Uria,24,
Vidua,1,
Xema,1,
Xenus,2,
Zosterops,1,
