"Var1","Var2","Freq"
"Lithuania","H10N4",1
"Netherlands","H10N4",2
"Iceland","H10N5",1
"Netherlands","H10N7",10
"Bulgaria","H10NY",1
"Georgia","H11N1",1
"Netherlands","H11N1",2
"Iceland","H11N2",1
"Iceland","H11N9",1
"Netherlands","H11N9",6
"Netherlands","H12N5",2
"Georgia","H13N2",1
"Netherlands","H13N2",2
"Netherlands","H13N3",1
"Georgia","H13N6",3
"Netherlands","H13N6",1
"Netherlands","H13N8",16
"Netherlands","H13Nx",14
"Netherlands","H16N2",1
"Iceland","H16N3",8
"Netherlands","H16N3",20
"Netherlands","H16N6",5
"Netherlands","H16Nx",8
"Netherlands","H1N1",8
"Netherlands","H1N2",2
"Netherlands","H1N3",1
"Netherlands","H1N6",1
"Bulgaria","H1NY",2
"Netherlands","H2N3",2
"Iceland","H2N5",10
"Iceland","H2N7",11
"Netherlands","H2N9",3
"Netherlands","H3N1",1
"Netherlands","H3N2",5
"Iceland","H3N6",1
"Netherlands","H3N6",2
"Hungary","H3N8",3
"Netherlands","H3N8",20
"Netherlands","H3Ny",1
"Bulgaria","H4N6",1
"Georgia","H4N6",7
"Netherlands","H4N6",14
"Iceland","H4N8",1
"Netherlands","H4Nx",2
"Bulgaria","H5N1",1
"Iceland","H5N2",1
"Netherlands","H5N2",4
"Netherlands","H5N3",2
"Georgia","H5N6",1
"Netherlands","H5N6",6
"Netherlands","H5N8",53
"Netherlands","H5Nx",6
"Netherlands","H6N1",3
"Georgia","H6N2",1
"Netherlands","H6N2",7
"Netherlands","H6N3",1
"Iceland","H6N5",3
"Iceland","H6N7",1
"Iceland","H6N8",9
"Netherlands","H6N8",6
"Netherlands","H6Nx",8
"Netherlands","H7N1",1
"Netherlands","H7N2,H7N2",1
"Georgia","H7N3",1
"Netherlands","H7N3",3
"Netherlands","H7N5",1
"Georgia","H7N7",2
"Netherlands","H7N7",3
"Netherlands","H7Nx",6
"Netherlands","H8N4",2
"Netherlands","H8Nx",1
"Georgia","HxN1",1
"Netherlands","HxN1",1
"Netherlands","HxN2",5
"Netherlands","HxN3",3
"Netherlands","HxN6",4
"Netherlands","HxN8",12
"Iceland","Mixed",2
