"","species","freq","order","family","genus","freq_neg"
"1","Alle alle",4,"Charadriiformes","Alcidae","Alle",109
"2","Alopochen aegyptiaca",1,"Anseriformes","Anatidae","Alopochen",122
"3","Alopochen aegyptiacus",4,"Anseriformes","Anatidae","Alopochen",612
"4","Anas acuta",12,"Anseriformes","Anatidae","Anas",147
"5","Anas clypeata",48,"Anseriformes","Anatidae","Spatula",510
"6","Anas crecca",446,"Anseriformes","Anatidae","Anas",3609
"7","Anas penelope",796,"Anseriformes","Anatidae","Mareca",10689
"8","Anas platyrhynchos",9270,"Anseriformes","Anatidae","Anas",83911
"9","Anas querquedula",2,"Anseriformes","Anatidae","Spatula",202
"10","Anas",12,"Anseriformes","Anatidae","Anas",NA
"11","Anas strepera",253,"Anseriformes","Anatidae","Mareca",2915
"12","Anser albifrons",816,"Anseriformes","Anatidae","Anser",8456
"13","Anser anser",99,"Anseriformes","Anatidae","Anser",2304
"14","Anser brachyrhynchus",1,"Anseriformes","Anatidae","Anser",101
"15","Anser fabalis",48,"Anseriformes","Anatidae","Anser",1089
"16","Anser fabalis serrirostris",2,"Anseriformes","Anatidae","Anser",NA
"17","Aquila heliaca",1,"Accipitriformes","Accipitridae","Aquila",2
"18","Arenaria interpres",32,"Charadriiformes","Scolopacidae","Arenaria",628
"19","Aythya ferina",1,"Anseriformes","Anatidae","Aythya",86
"20","Aythya fuligula",3,"Anseriformes","Anatidae","Aythya",143
"21","Branta bernicla",11,"Anseriformes","Anatidae","Branta",721
"22","Branta leucopsis",237,"Anseriformes","Anatidae","Branta",4049
"23","Bucephala clangula",2,"Anseriformes","Anatidae","Bucephala",16
"24","Buteo buteo",3,"Accipitriformes","Accipitridae","Buteo",80
"25","Calcarius lapponicus",4,"Passeriformes","Fringillidae","Calcarius",30
"26","Calidris alba",15,"Charadriiformes","Scolopacidae","Calidris",765
"27","Calidris alpina",4,"Charadriiformes","Scolopacidae","Calidris",725
"28","Cepphus grylle",4,"Charadriiformes","Alcidae","Cepphus",33
"29","Chlidonias niger",1,"Charadriiformes","Laridae","Chlidonias",183
"30","Chroicocephalus ridibundus",228,"Charadriiformes","Laridae","Chroicocephalus",2039
"31","Coloeus monedula",1,"Passeriformes","Corvidae","Coloeus",3
"32","Coturnix coturnix",1,"Galliformes","Phasianidae","Coturnix",731
"33","Cygnus atratus",1,"Anseriformes","Anatidae","Cygnus",24
"34","Cygnus bewickii",4,"Anseriformes","Anatidae","Cygnus",88
"35","Cygnus columbianus bewickii",20,"Anseriformes","Anatidae","Cygnus",175
"36","Cygnus olor",28,"Anseriformes","Anatidae","Cygnus",1315
"37","Falco peregrinus",2,"Falconiformes","Falconidae","Falco",16
"38","Fulica atra",14,"Gruiformes","Rallidae","Fulica",1249
"39","Gallinago gallinago",1,"Charadriiformes","Scolopacidae","Gallinago",281
"40","Gallinula chloropus",6,"Gruiformes","Rallidae","Gallinula",249
"41","Haematopus ostralegus",1,"Charadriiformes","Haematopodidae","Haematopus",417
"42","Larus argentatus",51,"Charadriiformes","Laridae","Larus",943
"43","Larus argentatus cachinnans",1,"Charadriiformes","Laridae","Larus",605
"44","Larus armenicus",42,"Charadriiformes","Laridae","Larus",2505
"45","Larus cachinnans",3,"Charadriiformes","Laridae","Larus",14
"46","Larus cachinnans cachinnans",1,"Charadriiformes","Laridae","Larus",6
"47","Larus canus",4,"Charadriiformes","Laridae","Larus",1608
"48","Larus fuscus",38,"Charadriiformes","Laridae","Larus",1347
"49","Larus glaucoides",4,"Charadriiformes","Laridae","Larus",62
"50","Larus hyperboreus",20,"Charadriiformes","Laridae","Larus",285
"51","Larus marinus",23,"Charadriiformes","Laridae","Larus",198
"52","Larus melanocephalus",5,"Charadriiformes","Laridae","Ichthyaetus",160
"53","Larus michahellis",126,"Charadriiformes","Laridae","Larus",3443
"54","Larus ridibundus",1137,"Charadriiformes","Laridae","Chroicocephalus",8874
"55","Larus",23,"Charadriiformes","Laridae","Larus",NA
"56","Phalacrocorax carbo",1,"Pelecaniformes","Phalacrocoracidae","Phalacrocorax",18
"57","Plectrophenax nivalis",1,"Passeriformes","Fringillidae","Plectrophenax",32
"58","Podiceps cristatus",2,"Podicipediformes","Podicipedidae","Podiceps",13
"59","Porzana parva",1,"Gruiformes","Rallidae","Porzana",39
"60","Rissa tridactyla",10,"Charadriiformes","Laridae","Rissa",87
"61","Somateria mollissima",5,"Anseriformes","Anatidae","Somateria",128
"62","Tachybaptus ruficollis",1,"Podicipediformes","Podicipedidae","Tachybaptus",24
"63","Tadorna tadorna",2,"Anseriformes","Anatidae","Tadorna",41
"64","Tringa glareola",26,"Charadriiformes","Scolopacidae","Tringa",273
"65","Tringa totanus",2,"Charadriiformes","Scolopacidae","Tringa",178
"66","Uria aalge",2,"Charadriiformes","Alcidae","Uria",130
"67","Uria lomvia",3,"Charadriiformes","Alcidae","Uria",60
