"code","scientific_name","common_name"
"bbwduc","dendrocygna autumnalis","black-bellied whistling-duck"
"fuwduc","dendrocygna bicolor","fulvous whistling-duck"
"empgoo","anser canagicus","emperor goose"
"snogoo","anser caerulescens","snow goose"
"rosgoo","anser rossii","ross's goose"
"gwfgoo","anser albifrons","greater white-fronted goose"
"brant","branta bernicla","brant"
"cacgoo1","branta hutchinsii","cackling goose"
"cangoo","branta canadensis","canada goose"
"mutswa","cygnus olor","mute swan"
"blkswa","cygnus atratus","black swan"
"blnswa2","cygnus melancoryphus","black-necked swan"
"truswa","cygnus buccinator","trumpeter swan"
"tunswa","cygnus columbianus","tundra swan"
"whoswa","cygnus cygnus","whooper swan"
"cosswa1","coscoroba coscoroba","coscoroba swan"
"andgoo1","oressochen melanopterus","andean goose"
"uplgoo1","chloephaga picta","upland goose"
"egygoo","alopochen aegyptiaca","egyptian goose"
"parshe1","tadorna variegata","paradise shelduck"
"musduc","cairina moschata","muscovy duck"
"wooduc","aix sponsa","wood duck"
"bratea1","amazonetta brasiliensis","brazilian teal"
"siltea1","spatula versicolor","silver teal"
"buwtea","spatula discors","blue-winged teal"
"cintea","spatula cyanoptera","cinnamon teal"
"redsho1","spatula platalea","red shoveler"
"aussho1","spatula rhynchotis","australasian shoveler"
"norsho","spatula clypeata","northern shoveler"
"gadwal","mareca strepera","gadwall"
"amewig","mareca americana","american wigeon"
"chiwig1","mareca sibilatrix","chiloe wigeon"
"yebduc1","anas undulata","yellow-billed duck"
"spbduc","anas zonorhyncha","eastern spot-billed duck"
"mallar3","anas platyrhynchos","mallard"
"ambduc","anas rubripes","american black duck"
"whcpin","anas bahamensis","white-cheeked pintail"
"norpin","anas acuta","northern pintail"
"yebpin1","anas georgica","yellow-billed pintail"
"gnwtea","anas crecca","green-winged teal"
"yebtea1","anas flavirostris","yellow-billed teal"
"canvas","aythya valisineria","canvasback"
"redhea","aythya americana","redhead"
"rinduc","aythya collaris","ring-necked duck"
"gresca","aythya marila","greater scaup"
"lessca","aythya affinis","lesser scaup"
"steeid","polysticta stelleri","steller's eider"
"kineid","somateria spectabilis","king eider"
"comeid","somateria mollissima","common eider"
"harduc","histrionicus histrionicus","harlequin duck"
"sursco","melanitta perspicillata","surf scoter"
"whwsco2","melanitta deglandi","white-winged scoter"
"blksco2","melanitta americana","black scoter"
"lotduc","clangula hyemalis","long-tailed duck"
"buffle","bucephala albeola","bufflehead"
"comgol","bucephala clangula","common goldeneye"
"bargol","bucephala islandica","barrow's goldeneye"
"hoomer","lophodytes cucullatus","hooded merganser"
"commer","mergus merganser","common merganser"
"rebmer","mergus serrator","red-breasted merganser"
"rudduc","oxyura jamaicensis","ruddy duck"
"norbob","colinus virginianus","northern bobwhite"
"calqua","callipepla californica","california quail"
"wiltur","meleagris gallopavo","wild turkey"
"wilpta","lagopus lagopus","willow ptarmigan"
"grypar","perdix perdix","gray partridge"
"rinphe1","phasianus colchicus","ring-necked pheasant"
"compea","pavo cristatus","indian peafowl"
"relpar1","alectoris rufa","red-legged partridge"
"chukar","alectoris chukar","chukar"
"chifla1","phoenicopterus chilensis","chilean flamingo"
"grefla2","phoenicopterus ruber","american flamingo"
"pibgre","podilymbus podiceps","pied-billed grebe"
"horgre","podiceps auritus","horned grebe"
"rengre","podiceps grisegena","red-necked grebe"
"eargre","podiceps nigricollis","eared grebe"
"rocpig","columba livia","rock pigeon"
"spepig1","columba guinea","speckled pigeon"
"cowpig1","columba palumbus","common wood-pigeon"
"ortdov","streptopelia orientalis","oriental turtle-dove"
"eucdov","streptopelia decaocto","eurasian collared-dove"
"recdov1","streptopelia tranquebarica","red collared-dove"
"crepig1","ocyphaps lophotes","crested pigeon"
